Item No.,Quantity,Part No.,Desc
1,1,case/case.step,3d print this
2,1,case/face_plate.step,3d print this?
3,1,case/eye_white_left.step,"make this out of frosted acrylic, white"
4,1,case/eye_white_right.step,"make this out of frosted acrylic, white"
5,1,case/star_left.step,"frosted acrylic, yellow"
6,1,case/star_right.step,"frosted acrylic, yellow"
7,1,case/iris_1.step,"frosted acrylic, purple"
8,1,case/iris_2.step,"frosted acrylic, purple"
9,1,case/iris_3.step,"frosted acrylic, purple"
10,1,case/iris_4.step,"frosted acrylic, purple"
11,1,case/iris_5.step,"frosted acrylic, purple"
12,1,case/iris_6.step,"frosted acrylic, purple"
13,1,case/iris_7.step,"frosted acrylic, purple"
14,1,case/iris_8.step,"frosted acrylic, purple"
15,3,Cherry MX reds,
16,3,,some sort of cherry mx keycaps
17,1,XIAO RP 2040 DIM,Primary chip
18,3,,diode of some sort
19,2,SK6812 Mini,RGB LEDs
20,1,./pcb,PCB
